District_Name,Market_Name,Month,Year,Rain,Modal_Price
CHIKKAMAGALURU,Bagepalli,February,2020,0,790
CHIKKAMAGALURU,Bagepalli,August,2016,103.47,580
CHIKKAMAGALURU,Bagepalli,February,2019,8.6,650
CHIKKAMAGALURU,Bagepalli,June,2017,125.51,780
CHIKKAMAGALURU,Bagepalli,March,2017,99.92,865
CHIKKAMAGALURU,Bagepalli,June,2018,531,870
CHIKKAMAGALURU,Bagepalli,July,2018,670.2,965
CHIKKAMAGALURU,Bagepalli,March,2020,7.8,810
HASSAN,Arasikere,August,2019,435.7,562
CHIKKAMAGALURU,Bagepalli,August,2015,92.98,650
CHIKKAMAGALURU,Bagepalli,March,2016,88.87,190
CHIKKAMAGALURU,Bagepalli,March,2016,88.87,200
CHIKKAMAGALURU,Bagepalli,December,2016,103.47,280
CHIKKAMAGALURU,Bagepalli,January,2018,0,340
CHIKKAMAGALURU,Bagepalli,January,2018,0,354
CHIKKAMAGALURU,Bagepalli,February,2015,20.42,300
CHIKKAMAGALURU,Bagepalli,April,2017,10.93,300
CHIKKAMAGALURU,Bagepalli,January,2015,0.52,300
CHIKKAMAGALURU,Bagepalli,March,2016,88.87,320
CHIKKAMAGALURU,Bagepalli,September,2015,92.98,400
CHIKKAMAGALURU,Bagepalli,March,2018,38,465
CHIKKAMAGALURU,Bagepalli,August,2016,103.47,440
CHIKKAMAGALURU,Bagepalli,April,2018,64.8,560
CHIKKAMAGALURU,Bagepalli,January,2019,0,430
CHIKKAMAGALURU,Bagepalli,February,2016,9.68,380
CHIKKAMAGALURU,Bagepalli,February,2015,20.42,400
CHIKKAMAGALURU,Bagepalli,February,2016,9.68,400
CHIKKAMAGALURU,Bagepalli,May,2020,139.2,400
CHIKKAMAGALURU,Bagepalli,August,2015,92.98,550
CHIKKAMAGALURU,Bagepalli,January,2019,0,390
CHIKKAMAGALURU,Bagepalli,August,2018,562.3,425
CHIKKAMAGALURU,Bagepalli,August,2016,103.47,480
CHIKKAMAGALURU,Bagepalli,May,2018,254.6,650
CHIKKAMAGALURU,Bagepalli,August,2018,562.3,510
CHIKKAMAGALURU,Bagepalli,December,2018,8.4,525
CHIKKAMAGALURU,Bagepalli,April,2016,4.75,530
CHIKKAMAGALURU,Bagepalli,September,2016,103.47,810
CHIKKAMAGALURU,Bagepalli,December,2018,8.4,500
CHIKKAMAGALURU,Bagepalli,August,2018,562.3,500
CHIKKAMAGALURU,Bagepalli,August,2018,562.3,500
CHIKKAMAGALURU,Bagepalli,December,2015,92.98,510
CHIKKAMAGALURU,Bagepalli,April,2020,55.9,600
CHIKKAMAGALURU,Bagepalli,October,2015,92.98,710
CHIKKAMAGALURU,Bagepalli,August,2017,125.51,925
CHIKKAMAGALURU,Bagepalli,June,2018,531,870
CHIKKAMAGALURU,Bagepalli,November,2015,92.98,810
CHIKKAMAGALURU,Bagepalli,April,2016,4.75,760
CHIKKAMAGALURU,Bagepalli,March,2020,7.8,800
CHIKKAMAGALURU,Bagepalli,June,2018,531,880
CHIKKAMAGALURU,Bagepalli,June,2017,125.51,749
CHIKKAMAGALURU,Bagepalli,June,2015,92.98,700
CHIKKAMAGALURU,Bagepalli,April,2015,34.21,700
CHIKKAMAGALURU,Bagepalli,April,2017,10.93,740
CHIKKAMAGALURU,Bagepalli,May,2015,92.98,800
CHIKKAMAGALURU,Bagepalli,April,2017,10.93,950
CHIKKAMAGALURU,Bagepalli,August,2017,125.51,1065
CHIKKAMAGALURU,Bagepalli,August,2017,125.51,985
CHIKKAMAGALURU,Bagepalli,December,2017,125.51,950
CHIKKAMAGALURU,Bagepalli,May,2017,125.51,965
CHIKKAMAGALURU,Bagepalli,January,2020,0,784
CHIKKAMAGALURU,Bagepalli,January,2020,0,780
CHIKKAMAGALURU,Bagepalli,September,2017,125.51,1045
CHIKKAMAGALURU,Bagepalli,April,2020,55.9,600
CHIKKAMAGALURU,Bagepalli,June,2015,92.98,600
CHIKKAMAGALURU,Bagepalli,March,2017,99.92,900
CHIKKAMAGALURU,Bagepalli,March,2020,7.8,790
CHIKKAMAGALURU,Bagepalli,December,2015,92.98,1000
CHIKKAMAGALURU,Bagepalli,March,2020,7.8,785
CHIKKAMAGALURU,Bagepalli,September,2017,125.51,1054
CHIKKAMAGALURU,Bagepalli,November,2015,92.98,810
CHIKKAMAGALURU,Bagepalli,January,2020,0,828
CHIKKAMAGALURU,Bagepalli,December,2018,8.4,765
CHIKKAMAGALURU,Bagepalli,August,2015,92.98,700
CHIKKAMAGALURU,Bagepalli,June,2015,92.98,800
CHIKKAMAGALURU,Bagepalli,June,2017,125.51,1205
CHIKKAMAGALURU,Bagepalli,May,2017,125.51,890
CHIKKAMAGALURU,Bagepalli,January,2020,0,926
CHIKKAMAGALURU,Bagepalli,October,2017,125.51,1204
CHIKKAMAGALURU,Bagepalli,May,2017,125.51,1150
CHIKKAMAGALURU,Bagepalli,July,2015,92.98,1000
CHIKKAMAGALURU,Bagepalli,June,2017,125.51,1240
CHIKKAMAGALURU,Bagepalli,April,2019,38.3,1150
CHIKKAMAGALURU,Bagepalli,November,2019,21.5,1455
CHIKKAMAGALURU,Bagepalli,November,2017,125.51,1365
CHIKKAMAGALURU,Bagepalli,May,2016,103.47,1600
CHIKKAMAGALURU,Bagepalli,December,2015,92.98,1450
CHIKKAMAGALURU,Bagepalli,December,2015,92.98,1500
CHIKKAMAGALURU,Bagepalli,November,2020,32.7,1940
CHIKKAMAGALURU,Bagepalli,November,2017,125.51,1868
CHIKKAMAGALURU,Bagepalli,April,2019,38.3,1940
CHIKKAMAGALURU,Bagepalli,October,2019,404.9,2615
CHIKKAMAGALURU,Bagepalli,November,2019,21.5,2150
CHIKKAMAGALURU,Bagepalli,September,2019,387.1,2140
CHIKKAMAGALURU,Bagepalli,October,2019,404.9,2154
CHIKKAMAGALURU,Bagepalli,October,2019,404.9,2075
CHIKKAMAGALURU,Bagepalli,July,2019,506.4,3115
CHIKKAMAGALURU,Bagepalli,July,2019,506.4,3210
CHIKKAMAGALURU,Bagepalli,June,2020,266.7,2951
CHIKKAMAGALURU,Bagepalli,June,2019,199.5,3300
CHIKKAMAGALURU,Bagepalli,May,2019,49.7,3540
CHIKKAMAGALURU,Bagepalli,May,2019,49.7,3675
CHIKKAMAGALURU,Bagepalli,May,2019,49.7,3650
CHIKKAMAGALURU,Bagepalli,July,2019,506.4,2850
CHIKKAMAGALURU,Bagepalli,July,2019,506.4,3000
CHIKKAMAGALURU,Bagepalli,August,2020,662.7,3100
CHIKKAMAGALURU,Bagepalli,May,2019,49.7,3220
CHIKKAMAGALURU,Bagepalli,September,2020,370.3,3461
CHIKKAMAGALURU,Bagepalli,July,2020,352.9,3200
CHIKKAMAGALURU,Bagepalli,July,2020,352.9,3490
CHIKKAMAGALURU,Bagepalli,April,2015,34.21,500
HASSAN,Arasikere,September,2019,178.4,563
HASSAN,Arasikere,August,2018,139.4,1000
HASSAN,Arasikere,January,2020,0.2,1000
HASSAN,Arasikere,October,2019,263.3,1800
HASSAN,Arasikere,January,2015,0.02,600
HASSAN,Arasikere,January,2015,0.02,1000
HASSAN,Arasikere,May,2015,40.89,1800
CHIKKAMAGALURU,Bagepalli,May,2017,125.51,970
CHIKKAMAGALURU,Bagepalli,November,2017,125.51,1754
CHIKKAMAGALURU,Bagepalli,August,2016,103.47,210
CHIKKAMAGALURU,Bagepalli,April,2017,10.93,250
CHIKKAMAGALURU,Bagepalli,January,2015,0.52,300
CHIKKAMAGALURU,Bagepalli,March,2015,37.83,300
CHIKKAMAGALURU,Bagepalli,February,2018,1.4,465
CHIKKAMAGALURU,Bagepalli,February,2018,1.4,425
CHIKKAMAGALURU,Bagepalli,February,2018,1.4,435
CHIKKAMAGALURU,Bagepalli,September,2015,92.98,520
CHIKKAMAGALURU,Bagepalli,September,2016,103.47,480
CHIKKAMAGALURU,Bagepalli,March,2017,99.92,740
CHIKKAMAGALURU,Bagepalli,January,2019,0,510
CHIKKAMAGALURU,Bagepalli,September,2016,103.47,680
CHIKKAMAGALURU,Bagepalli,January,2019,0,465
CHIKKAMAGALURU,Bagepalli,June,2018,531,760
CHIKKAMAGALURU,Bagepalli,August,2016,103.47,520
CHIKKAMAGALURU,Bagepalli,February,2019,8.6,600
CHIKKAMAGALURU,Bagepalli,March,2020,7.8,715
CHIKKAMAGALURU,Bagepalli,February,2017,14.65,640
CHIKKAMAGALURU,Bagepalli,August,2015,92.98,460
CHIKKAMAGALURU,Bagepalli,April,2020,55.9,480
CHIKKAMAGALURU,Bagepalli,April,2015,34.21,500
CHIKKAMAGALURU,Bagepalli,February,2015,20.42,500
CHIKKAMAGALURU,Bagepalli,May,2020,139.2,620
CHIKKAMAGALURU,Bagepalli,December,2020,20.2,715
CHIKKAMAGALURU,Bagepalli,March,2020,7.8,816
CHIKKAMAGALURU,Bagepalli,September,2015,92.98,800
CHIKKAMAGALURU,Bagepalli,September,2016,103.47,840
CHIKKAMAGALURU,Bagepalli,September,2016,103.47,1050
CHIKKAMAGALURU,Bagepalli,October,2016,103.47,840
CHIKKAMAGALURU,Bagepalli,March,2017,99.92,780
CHIKKAMAGALURU,Bagepalli,August,2018,562.3,525
CHIKKAMAGALURU,Bagepalli,February,2020,0,795
CHIKKAMAGALURU,Bagepalli,February,2020,0,765
CHIKKAMAGALURU,Bagepalli,March,2020,7.8,790
CHIKKAMAGALURU,Bagepalli,August,2015,92.98,600
CHIKKAMAGALURU,Bagepalli,March,2019,9.1,740
CHIKKAMAGALURU,Bagepalli,November,2015,92.98,800
CHIKKAMAGALURU,Bagepalli,March,2020,7.8,770
CHIKKAMAGALURU,Bagepalli,March,2017,99.92,940
CHIKKAMAGALURU,Bagepalli,April,2017,10.93,800
CHIKKAMAGALURU,Bagepalli,February,2020,0,795
HASSAN,Arasikere,August,2018,139.4,500
HASSAN,Arasikere,September,2019,178.4,563
HASSAN,Arasikere,August,2019,435.7,1000
HASSAN,Arasikere,December,2018,0.9,1000
HASSAN,Arasikere,July,2015,40.89,1200
HASSAN,Arasikere,May,2019,113.5,2000
HASSAN,Arasikere,June,2016,48.36,3000
HASSAN,Arasikere,January,2015,0.02,300
CHIKKAMAGALURU,Bagepalli,December,2016,103.47,320
CHIKKAMAGALURU,Bagepalli,January,2018,0,358
CHIKKAMAGALURU,Bagepalli,January,2018,0,355
CHIKKAMAGALURU,Bagepalli,January,2015,0.52,300
CHIKKAMAGALURU,Bagepalli,April,2020,55.9,300
CHIKKAMAGALURU,Bagepalli,January,2017,0.01,320
CHIKKAMAGALURU,Bagepalli,January,2017,0.01,360
CHIKKAMAGALURU,Bagepalli,March,2018,38,465
CHIKKAMAGALURU,Bagepalli,August,2016,103.47,340
CHIKKAMAGALURU,Bagepalli,January,2017,0.01,360
CHIKKAMAGALURU,Bagepalli,January,2019,0,385
CHIKKAMAGALURU,Bagepalli,November,2018,25.2,365
CHIKKAMAGALURU,Bagepalli,February,2016,9.68,320
CHIKKAMAGALURU,Bagepalli,February,2015,20.42,400
CHIKKAMAGALURU,Bagepalli,August,2018,562.3,400
CHIKKAMAGALURU,Bagepalli,September,2015,92.98,480
CHIKKAMAGALURU,Bagepalli,May,2018,254.6,625
CHIKKAMAGALURU,Bagepalli,June,2018,531,750
CHIKKAMAGALURU,Bagepalli,August,2015,92.98,450
CHIKKAMAGALURU,Bagepalli,September,2018,111.2,454
CHIKKAMAGALURU,Bagepalli,May,2018,254.6,535
CHIKKAMAGALURU,Bagepalli,May,2018,254.6,610
CHIKKAMAGALURU,Bagepalli,March,2017,99.92,760
CHIKKAMAGALURU,Bagepalli,March,2015,37.83,500
CHIKKAMAGALURU,Bagepalli,April,2015,34.21,500
CHIKKAMAGALURU,Bagepalli,April,2020,55.9,580
CHIKKAMAGALURU,Bagepalli,July,2016,103.47,620
CHIKKAMAGALURU,Bagepalli,October,2015,92.98,710
CHIKKAMAGALURU,Bagepalli,February,2019,8.6,615
CHIKKAMAGALURU,Bagepalli,March,2017,99.92,755
CHIKKAMAGALURU,Bagepalli,July,2018,670.2,945
CHIKKAMAGALURU,Bagepalli,August,2015,92.98,600
CHIKKAMAGALURU,Bagepalli,June,2015,92.98,600
CHIKKAMAGALURU,Bagepalli,April,2015,34.21,700
CHIKKAMAGALURU,Bagepalli,March,2019,9.1,745
CHIKKAMAGALURU,Bagepalli,November,2015,92.98,810
CHIKKAMAGALURU,Bagepalli,December,2020,20.2,925
CHIKKAMAGALURU,Bagepalli,December,2020,20.2,1010
CHIKKAMAGALURU,Bagepalli,July,2018,670.2,1265
CHIKKAMAGALURU,Bagepalli,May,2016,103.47,680
CHIKKAMAGALURU,Bagepalli,May,2016,103.47,720
CHIKKAMAGALURU,Bagepalli,November,2015,92.98,910
CHIKKAMAGALURU,Bagepalli,April,2016,4.75,780
CHIKKAMAGALURU,Bagepalli,January,2015,0.52,400
KOLAR,Bangarpet,April,2020,67.4,300
KOLAR,Bangarpet,April,2020,67.4,200
KOLAR,Bangarpet,December,2016,52.7,250
KOLAR,Bangarpet,March,2018,51.7,300
KOLAR,Bangarpet,March,2016,29.77,320
KOLAR,Bangarpet,May,2018,134.5,450
KOLAR,Bangarpet,June,2018,42.9,400
KOLAR,Bangarpet,September,2018,113.3,550
KOLAR,Bangarpet,March,2018,51.7,500
KOLAR,Bangarpet,October,2018,75,500
KOLAR,Bangarpet,October,2018,75,500
KOLAR,Bangarpet,August,2018,41.3,550
KOLAR,Bangarpet,January,2020,0,750
KOLAR,Bangarpet,June,2017,97.33,1000
KOLAR,Bangarpet,February,2020,0,600
KOLAR,Bangarpet,April,2017,34.83,650
KOLAR,Bangarpet,November,2019,19.9,1050
KOLAR,Bangarpet,January,2018,0,380
KOLAR,Bangarpet,March,2018,51.7,420
KOLAR,Bangarpet,April,2017,34.83,500
KOLAR,Bangarpet,January,2018,0,400
KOLAR,Bangarpet,March,2019,0,500
KOLAR,Bangarpet,February,2020,0,450
KOLAR,Bangarpet,September,2018,113.3,600
KOLAR,Bangarpet,October,2018,75,530
KOLAR,Bangarpet,November,2018,11.9,750
KOLAR,Bangarpet,December,2018,6.3,650
KOLAR,Bangarpet,December,2018,6.3,750
KOLAR,Bangarpet,March,2019,0,750
KOLAR,Bangarpet,July,2018,42.3,750
KOLAR,Bangarpet,February,2019,46.2,730
KOLAR,Bangarpet,December,2018,6.3,800
KOLAR,Bangarpet,December,2018,6.3,700
KOLAR,Bangarpet,October,2016,52.7,850
KOLAR,Bangarpet,August,2018,41.3,800
KOLAR,Bangarpet,January,2020,0,750
KOLAR,Bangarpet,December,2017,97.33,450
KOLAR,Bangarpet,January,2020,0,650
KOLAR,Bangarpet,March,2017,45.4,980
KOLAR,Bangarpet,November,2019,19.9,980
KOLAR,Bangarpet,December,2017,97.33,400
KOLAR,Bangarpet,April,2018,21.9,380
KOLAR,Bangarpet,January,2017,0.92,500
KOLAR,Bangarpet,April,2017,34.83,630
KOLAR,Bangarpet,April,2017,34.83,800
KOLAR,Bangarpet,June,2018,42.9,700
KOLAR,Bangarpet,June,2017,97.33,950
KOLAR,Bangarpet,September,2015,207.22,900
KOLAR,Bangarpet,September,2015,207.22,980
KOLAR,Bangarpet,September,2017,97.33,750
KOLAR,Bangarpet,October,2017,97.33,950
KOLAR,Bangarpet,June,2017,97.33,1200
KOLAR,Bangarpet,September,2016,52.7,1000
KOLAR,Bangarpet,February,2017,16.18,1200
CHIKKAMAGALURU,Bagepalli,August,2017,125.51,1035
CHIKKAMAGALURU,Bagepalli,June,2017,125.51,1105
CHIKKAMAGALURU,Bagepalli,May,2015,92.98,900
CHIKKAMAGALURU,Bagepalli,December,2019,38.3,950
CHIKKAMAGALURU,Bagepalli,December,2019,38.3,1000
CHIKKAMAGALURU,Bagepalli,October,2017,125.51,1028
CHIKKAMAGALURU,Bagepalli,April,2017,10.93,1000
CHIKKAMAGALURU,Bagepalli,November,2019,21.5,1460
CHIKKAMAGALURU,Bagepalli,November,2017,125.51,1874
CHIKKAMAGALURU,Bagepalli,November,2020,32.7,2150
CHIKKAMAGALURU,Bagepalli,April,2019,38.3,2330
CHIKKAMAGALURU,Bagepalli,July,2016,103.47,1900
CHIKKAMAGALURU,Bagepalli,September,2019,387.1,2120
CHIKKAMAGALURU,Bagepalli,August,2019,988.7,2245
CHIKKAMAGALURU,Bagepalli,May,2016,103.47,2800
CHIKKAMAGALURU,Bagepalli,April,2019,38.3,2650
CHIKKAMAGALURU,Bagepalli,July,2019,506.4,2510
CHIKKAMAGALURU,Bagepalli,October,2019,404.9,2860
CHIKKAMAGALURU,Bagepalli,May,2016,103.47,3600
CHIKKAMAGALURU,Bagepalli,May,2019,49.7,3545
CHIKKAMAGALURU,Bagepalli,August,2020,662.7,3340
CHIKKAMAGALURU,Bagepalli,September,2020,370.3,3125
CHIKKAMAGALURU,Bagepalli,September,2020,370.3,3461
CHIKKAMAGALURU,Bagepalli,July,2020,352.9,3565
CHIKKAMAGALURU,Bagepalli,July,2020,352.9,3530
CHIKKAMAGALURU,Bagepalli,June,2016,103.47,4550
CHIKKAMAGALURU,Bagepalli,September,2015,92.98,610
CHIKKAMAGALURU,Bagepalli,October,2015,92.98,780
CHIKKAMAGALURU,Bagepalli,October,2015,92.98,810
CHIKKAMAGALURU,Bagepalli,January,2016,0.17,2000
KOLAR,Bangarpet,April,2020,67.4,260
KOLAR,Bangarpet,April,2020,67.4,380
KOLAR,Bangarpet,May,2020,91.9,280
KOLAR,Bangarpet,August,2018,41.3,350
KOLAR,Bangarpet,February,2020,0,300
KOLAR,Bangarpet,May,2017,97.33,350
KOLAR,Bangarpet,May,2018,134.5,400
KOLAR,Bangarpet,February,2020,0,420
KOLAR,Bangarpet,October,2018,75,600
KOLAR,Bangarpet,December,2019,18,550
KOLAR,Bangarpet,December,2019,18,550
KOLAR,Bangarpet,February,2017,16.18,1000
KOLAR,Bangarpet,December,2017,97.33,350
KOLAR,Bangarpet,May,2018,134.5,450
KOLAR,Bangarpet,October,2016,52.7,620
KOLAR,Bangarpet,November,2018,11.9,580
KOLAR,Bangarpet,December,2018,6.3,500
KOLAR,Bangarpet,October,2018,75,600
KOLAR,Bangarpet,September,2017,97.33,650
KOLAR,Bangarpet,August,2018,41.3,680
KOLAR,Bangarpet,February,2019,46.2,700
KOLAR,Bangarpet,January,2017,0.92,800
KOLAR,Bangarpet,August,2018,41.3,850
HASSAN,Arasikere,March,2019,2.7,500
HASSAN,Arasikere,December,2019,25.2,1000
HASSAN,Arasikere,July,2016,48.36,1000
HASSAN,Arasikere,December,2015,40.89,2000
HASSAN,Arasikere,January,2015,0.02,1000
HASSAN,Arasikere,January,2015,0.02,1000
CHIKKAMAGALURU,Bagepalli,March,2016,88.87,190
CHIKKAMAGALURU,Bagepalli,January,2018,0,355
CHIKKAMAGALURU,Bagepalli,January,2018,0,352
CHIKKAMAGALURU,Bagepalli,December,2016,103.47,290
CHIKKAMAGALURU,Bagepalli,December,2016,103.47,310
CHIKKAMAGALURU,Bagepalli,April,2015,34.21,300
CHIKKAMAGALURU,Bagepalli,March,2015,37.83,300
CHIKKAMAGALURU,Bagepalli,December,2016,103.47,350
CHIKKAMAGALURU,Bagepalli,January,2018,0,395
CHIKKAMAGALURU,Bagepalli,January,2018,0,410
CHIKKAMAGALURU,Bagepalli,February,2018,1.4,465
CHIKKAMAGALURU,Bagepalli,November,2016,103.47,340
CHIKKAMAGALURU,Bagepalli,January,2018,0,465
CHIKKAMAGALURU,Bagepalli,August,2016,103.47,450
CHIKKAMAGALURU,Bagepalli,December,2017,125.51,520
CHIKKAMAGALURU,Bagepalli,April,2017,10.93,430
CHIKKAMAGALURU,Bagepalli,May,2020,139.2,426
CHIKKAMAGALURU,Bagepalli,April,2020,55.9,500
CHIKKAMAGALURU,Bagepalli,May,2018,254.6,510
CHIKKAMAGALURU,Bagepalli,May,2018,254.6,650
CHIKKAMAGALURU,Bagepalli,November,2016,103.47,410
CHIKKAMAGALURU,Bagepalli,January,2019,0,510
CHIKKAMAGALURU,Bagepalli,October,2016,103.47,740
CHIKKAMAGALURU,Bagepalli,June,2018,531,765
CHIKKAMAGALURU,Bagepalli,January,2017,0.01,880
CHIKKAMAGALURU,Bagepalli,April,2020,55.9,615
CHIKKAMAGALURU,Bagepalli,February,2017,14.65,610
CHIKKAMAGALURU,Bagepalli,February,2017,14.65,650
CHIKKAMAGALURU,Bagepalli,September,2018,111.2,510
CHIKKAMAGALURU,Bagepalli,September,2018,111.2,458
CHIKKAMAGALURU,Bagepalli,June,2018,531,785
CHIKKAMAGALURU,Bagepalli,September,2018,111.2,526
CHIKKAMAGALURU,Bagepalli,November,2018,25.2,564
CHIKKAMAGALURU,Bagepalli,August,2017,125.51,980
CHIKKAMAGALURU,Bagepalli,November,2015,92.98,1000
CHIKKAMAGALURU,Bagepalli,February,2020,0,826
CHIKKAMAGALURU,Bagepalli,February,2019,8.6,540
CHIKKAMAGALURU,Bagepalli,February,2015,20.42,500
CHIKKAMAGALURU,Bagepalli,September,2017,125.51,956
CHIKKAMAGALURU,Bagepalli,March,2017,99.92,785
CHIKKAMAGALURU,Bagepalli,July,2017,125.51,748
CHIKKAMAGALURU,Bagepalli,March,2020,7.8,800
CHIKKAMAGALURU,Bagepalli,April,2016,4.75,780
CHIKKAMAGALURU,Bagepalli,August,2017,125.51,915
CHIKKAMAGALURU,Bagepalli,September,2017,125.51,1105
CHIKKAMAGALURU,Bagepalli,March,2019,9.1,915
CHIKKAMAGALURU,Bagepalli,October,2016,103.47,1050
CHIKKAMAGALURU,Bagepalli,April,2015,34.21,700
CHIKKAMAGALURU,Bagepalli,April,2016,4.75,780
CHIKKAMAGALURU,Bagepalli,July,2015,92.98,800
CHIKKAMAGALURU,Bagepalli,December,2019,38.3,813
CHIKKAMAGALURU,Bagepalli,June,2017,125.51,1050
CHIKKAMAGALURU,Bagepalli,July,2018,670.2,1245
CHIKKAMAGALURU,Bagepalli,December,2019,38.3,912
CHIKKAMAGALURU,Bagepalli,May,2015,92.98,800
CHIKKAMAGALURU,Bagepalli,December,2019,38.3,910
CHIKKAMAGALURU,Bagepalli,December,2020,20.2,1102
CHIKKAMAGALURU,Bagepalli,May,2017,125.51,1240
CHIKKAMAGALURU,Bagepalli,October,2017,125.51,1421
CHIKKAMAGALURU,Bagepalli,July,2015,92.98,1000
CHIKKAMAGALURU,Bagepalli,November,2017,125.51,1685
CHIKKAMAGALURU,Bagepalli,December,2015,92.98,1600
CHIKKAMAGALURU,Bagepalli,September,2019,387.1,2310
CHIKKAMAGALURU,Bagepalli,October,2019,404.9,2250
CHIKKAMAGALURU,Bagepalli,September,2019,387.1,2475
CHIKKAMAGALURU,Bagepalli,August,2019,988.7,2650
CHIKKAMAGALURU,Bagepalli,July,2019,506.4,3100
CHIKKAMAGALURU,Bagepalli,July,2019,506.4,3550
CHIKKAMAGALURU,Bagepalli,June,2020,266.7,2863
CHIKKAMAGALURU,Bagepalli,May,2019,49.7,3605
CHIKKAMAGALURU,Bagepalli,June,2019,199.5,3500
CHIKKAMAGALURU,Bagepalli,June,2019,199.5,3870
CHIKKAMAGALURU,Bagepalli,September,2020,370.3,3150
CHIKKAMAGALURU,Bagepalli,September,2020,370.3,3150
CHIKKAMAGALURU,Bagepalli,May,2016,103.47,3800
CHIKKAMAGALURU,Bagepalli,August,2020,662.7,3340
CHIKKAMAGALURU,Bagepalli,July,2020,352.9,3457
CHIKKAMAGALURU,Bagepalli,February,2015,20.42,500
CHIKKAMAGALURU,Bagepalli,October,2015,92.98,850
KOLAR,Bangarpet,May,2018,134.5,280
KOLAR,Bangarpet,February,2018,4.9,380
KOLAR,Bangarpet,May,2018,134.5,380
KOLAR,Bangarpet,March,2018,51.7,450
KOLAR,Bangarpet,May,2018,134.5,450
KOLAR,Bangarpet,March,2020,12.4,250
KOLAR,Bangarpet,February,2020,0,450
KOLAR,Bangarpet,March,2018,51.7,500
KOLAR,Bangarpet,October,2018,75,500
KOLAR,Bangarpet,August,2018,41.3,750
KOLAR,Bangarpet,May,2017,97.33,800
KOLAR,Bangarpet,January,2020,0,750
KOLAR,Bangarpet,September,2017,97.33,750
KOLAR,Bangarpet,December,2018,6.3,800
KOLAR,Bangarpet,May,2017,97.33,500
KOLAR,Bangarpet,February,2020,0,600
KOLAR,Bangarpet,November,2016,52.7,360
HASSAN,Arasikere,July,2015,40.89,1500
HASSAN,Arasikere,May,2015,40.89,1600
CHIKKAMAGALURU,Bagepalli,April,2015,34.21,500
CHIKKAMAGALURU,Bagepalli,March,2016,88.87,200
CHIKKAMAGALURU,Bagepalli,March,2018,38,410
CHIKKAMAGALURU,Bagepalli,September,2015,92.98,280
CHIKKAMAGALURU,Bagepalli,November,2016,103.47,310
CHIKKAMAGALURU,Bagepalli,May,2020,139.2,325
CHIKKAMAGALURU,Bagepalli,November,2016,103.47,310
CHIKKAMAGALURU,Bagepalli,May,2020,139.2,342
CHIKKAMAGALURU,Bagepalli,January,2018,0,370
CHIKKAMAGALURU,Bagepalli,November,2016,103.47,350
CHIKKAMAGALURU,Bagepalli,September,2018,111.2,325
CHIKKAMAGALURU,Bagepalli,November,2016,103.47,330
CHIKKAMAGALURU,Bagepalli,August,2016,103.47,410
